0,некоррект
1,1:10 000
2,1:25 000
3,1:50 000
4,1:100 000
5,1:200 000
6,1:500 000
7,1:1 000 000
8,1:2 500 000
9,1:5 000
10,1:2 000
13,1:1 000
14,не определено
15,1:100
16,1:200
17,1:250
18,1:500
19,1:2 500
20,1:3 000
21,1:12 000
22,1:20 000
23,1:70 000
24,1:75 000
25,1:250 000
26,1:270 000
27,1:300 000
28,1:400 000
29,1:700 000
30,1:750 000
31,1:1 500 000
32,1:2 000 000
33,1:3 000 000
34,1:4 000 000
35,1:4 500 000
36,1:5 000 000
37,1:5 500 000
38,1:6 000 000
39,1:6 500 000
40,1:7 000 000
41,1:7 500 000
42,1:1 680 000
43,1:10 000 000
44,1:210 000
45,1:4 000
46,1:420 000
48,1:84 000
49,1:1
50,1:2
52,1:10
53,1:20
54,1:50
100,Внемасштабный
